review,time
가성비는 진짜 좋네요 중저음 확실히 좋습니다 날카롭지 않고 무거운 느낌 착용감은 보통정도 차음 좋고 누음도 없네요 보컬도 선명하진 않아도 묻히진 않아요 가성비는 진짜 좋네요 중저음 확실히 좋습니다 날카롭지 않고 무거운 느낌 착용감은 보통정도 차음 좋고 누음도 없네요 보컬도 선명하진 않아도 묻히진 않아요 가성비는 진짜 좋네요 중저음 확실히 좋습니다 날카롭지 않고 무거운 느낌 착용감은 보통정도 차음 좋고 누음도 없네요 보컬도 선명하진 않아도 묻히진 않아요 가성비는 진짜 좋네요 중저음 확실히 좋습니다 날카롭지 않고 무거운 느낌 착용감은 보통정도 차음 좋고 누음도 없네요 보컬도 선명하진 않아도 묻히진 않아요 가성비는 진짜 좋네요 중저음 확실히 좋습니다 날카롭지 않고 무거운 느낌 착용감은 보통정도 차음 좋고 누음도 없네요 보컬도 선명하진 않아도 묻히진 않아요 가성비는 진짜 좋네요 중저음 확실히 좋습니다 날카롭지 않고 무거운 느낌 착용감은 보통정도 차음 좋고 누음도 없네요 보컬도 선명하진 않아도 묻히진 않아요,2013-09-06
그 가격대의 성능입니다. 가성비 필요없음 .? 돈 쓴만큼의 음질이군요…  배송도 좀 느리고 그닥 추천하고 싶진 않아요......??,2013-12-23
고음에는 좀 취약한 면이 있지만 중저음은 정말 둥둥두두둥 음질 좋군요 가격대비 최고 인듯 하네요 중저음을 중시하는 분들께는 추천 드립니다만 고음 부분을 신경쓰시는 분께는 비추하고 싶네요,2013-12-05
싸게 잘 삿습니다. 역시 가격대비 아주 좋네요... 제품도 좋고 배송도 빠르고 적극 추천드려요? 차음성도 좋고 극강 베이스네요. 다만 여름에는 좀  땀 찰듯.,2014-01-12
아빠 선물로 구입했는데 만족스럽네요~ 소리도 좋고 전문가는 아니지만 이만한 가격에 이정도 음질이면 개인적으로 만족합니다~,2014-03-06
음질은 이 가격대 다른제품보단 좋은듯합니다. 하지만 조심히 다뤄도 잔기스가 너무 잘나요ㅡㅡ 기스문제만 아니면 괜찮은데...참,2013-10-06
"착용하고 음악들을때 차음성 굉장히 좋습니다 ㅎ 바깥 소리 하나도 안들리구요, 베이스 사운드.. 완전 좋네요 ㅎ 가격대 성능 정말 좋은것 같습니다 ㅎ",2013-06-18
이만한 가격대에 디자인도 예쁘고 아웃도어용으로도 별로 무겁지 않아 마음에드네요? 적극 추천합니다,2013-08-13
가격에 비해 귀부분이 헤어지면서 떨어지는 게 있어서 마음에 안듭니다. 벗겨지는 것이 없었더라면 성능과 디자인 다 만족스러웠을텐데 아쉽습니다.,2014-01-17
디자인은 뭐 사진으로 보여주니 말할 필요없구요 보기보다 가볍고 착용감도 괜찮네요,2013-08-12
가성비 아주 맘에드는 헤드폰이네요.. 중저음 좋아하시는 분께는 추천입니다..^^,2013-09-13
"아들 생일 선물로 샀는데 배송은 빨랐고, 빨간색이 사진과 다름 없었고, 무엇보다 아들이 맘에 들어하네요..",2013-06-11
아직 뜯어보진 않았지만 깔끔한 포장에 정품이 맞는것 같아요~감사합니다 오래오래 사용할게요~많이파시길바랍니다!,2013-12-17
노래를 들으며 길을 걸으면 사람들의 시선이 꽂히는걸 느끼는....,2014-03-14
동생 선물로 사준건데동생이 많이 좋아하네요~ 안그래도 사고싶었던거라며 엄청 만족했습니다~,2013-12-05
디자인이랑 저음이 굉장히 훌륭합니다 겨울에 귀마개 대신해서 사용하기에도. 좋습니다.,2013-11-29
생각보다 많이 가볍고 착용감 좋네요ㅎㅎ 만점입니다!!,2014-01-13
여러곳 비교했는데 이곳이 제일 싸서 구매했습니다. 배송도 빨리 되어서 더욱 좋았습니다. 지난번 구매했던 제품인데 품질이 좋아서 다시 구입!,2014-02-11
오자마자 뜯어서 음질을 들어봤는데 오~~ 음질도 괜찮고 디자인도 좋고! 귀도 안아파요!ㅋ,2013-07-23
두번째 구매인데 역시나 음질 하나는 기가막히네요,2014-01-14
"제품이 무겁긴해도 디자인이나 음질은 참 좋습니다. 다만, 귀를 완전히 밀착해줘서 여름엔 좀 고역이라는 것만 빼면 좋습니다.?",2013-08-16
일반이어폰 낀사람들은 확연히 다르다는걸 느낌니다 귀맹이어도 다로알겠구몬 어마어마 하네요 ㅎㅎ,2013-07-23
영수증이없어서당황했지만 영수증출력하는중입니다ㅎ 헤드폰은 지금 에이징중이구요 ㅎㅎ,2014-07-31
제품 하자없이 깨끗하네요 굿굿,2013-11-16
빠른 배송에 제품도 이쁘고.. 아직 들어보지는 않았지만... 마음에 들어요..,2014-02-18
"디자인,소리 맘에듭니다",2014-04-09
나의 첫 MDR!!! 진짜 완전 신세계!!!! 14시간의 번인후 첫 플레이 곡은 NE-YO 의 SO SICK !!! 진짜 완전 강추!!!!,2014-04-09
